,batch_size,lr,mlp_dropout,weight_decay,hidden_size,grad_clip,result_variance,tuning_epochs,tuning_loss_MSE
0,32,0.01,0.4,0.01,16,5.0,8.599202906065812e-06,20,0.14823710365664886
1,16,1e-06,0.0,0.001,256,,0.0003274829068623837,100,0.17923134204266883
2,64,1e-06,0.0,1e-05,8,,1.2003889430931184e-05,100,0.29253219768270344
3,64,1e-05,0.5,0.0001,128,2.0,0.0005228099551139065,100,0.16841455698427515
4,128,1e-05,0.1,0.0001,128,2.0,0.0002846810885744598,85,0.1459808774877539
5,16,0.0001,0.1,0.001,64,5.0,0.0001432167425405467,100,0.1449460090687492
6,256,0.0001,0.1,0.0001,256,,0.0002827466171536888,100,0.15321261310759646
7,64,1e-06,0.2,0.0001,128,1.0,0.00047231182480381986,100,0.1897356397932482
8,16,1e-06,0.5,1e-05,128,,0.0006858643376210099,60,0.21259544447447543
9,64,1e-05,0.3,1e-05,8,1.0,0.000122741965855604,100,0.2352400943481566
10,64,0.0001,0.4,0.0001,256,5.0,0.0004112384350977097,100,0.1416721186656932
11,128,0.01,0.1,0.001,64,0.5,1.977221620862322e-05,26,0.1403747302074247
12,64,1e-05,0.1,0.1,8,0.5,0.0009274333050831611,100,0.15942740213175133
13,64,1e-05,0.0,0.1,256,,0.0007367027667502246,100,0.15430460610349944
14,32,1e-06,0.4,0.0,128,0.5,3.05945765800167e-05,62,0.1887857484974904
15,64,0.01,0.4,0.1,256,,0.0002104071717707271,18,0.1499343155810119
16,32,0.01,0.0,0.001,64,1.0,7.0246493624560745e-06,30,0.13952720060250756
17,16,1e-05,0.3,0.01,8,1.0,0.0007222431387360024,100,0.16784588314639437
18,32,0.0001,0.4,0.0001,256,5.0,0.0004606678827582158,100,0.14312243774336522
19,128,0.01,0.2,1e-05,8,2.0,8.663865504845494e-05,96,0.14764118656837086
20,64,0.001,0.2,1e-05,16,0.5,8.20765999189562e-05,100,0.14289121058788293
21,128,0.01,0.1,0.1,8,0.5,2.663618234372316e-05,18,0.14861082405348963
22,32,0.0001,0.5,1e-05,256,2.0,0.00042307541236348285,100,0.14155577669920733
23,64,1e-06,0.2,0.1,16,1.0,0.0006958696849297432,100,0.2006342909831484
24,32,1e-05,0.3,0.01,128,1.0,0.0005941805172402284,100,0.1535757059165386
25,256,0.001,0.4,0.001,64,1.0,0.00017726938664864043,100,0.14112929449137754
26,32,1e-05,0.0,0.0,64,,0.000555904935387489,100,0.14538361843962733
27,16,0.001,0.0,0.1,8,2.0,1.3586176994408679e-05,18,0.14930411759890808
28,128,0.001,0.3,0.0001,16,0.5,0.00011886273372423559,100,0.1395520231121526
29,64,0.01,0.0,0.0,16,1.0,7.539789575844176e-05,100,0.15398010746359078
30,64,1e-05,0.1,0.001,256,1.0,0.0001793716900552093,100,0.14518652462023177
31,16,0.0001,0.0,0.01,256,0.5,6.500577175336857e-05,54,0.13864991071221727
32,32,1e-06,0.4,1e-05,128,2.0,0.00015453856391793296,100,0.18508552152552152
33,64,0.01,0.5,0.01,64,1.0,2.591040217558611e-05,19,0.14911183658327137
34,256,0.001,0.4,0.0001,8,,4.6680716607238684e-05,100,0.13813505187433905
35,32,0.001,0.4,0.01,256,2.0,0.00012606473019133554,27,0.13817598722186497
36,16,0.01,0.2,0.001,128,1.0,1.64023368435403e-05,19,0.16453936757355453
37,16,0.01,0.1,0.1,256,,3.771023628241431e-05,18,0.14870159902698551
38,32,1e-06,0.2,1e-05,8,0.5,7.800396784328247e-06,44,0.30245548572450814
39,128,1e-06,0.1,0.0001,64,1.0,0.0006745781462443383,100,0.17703866655831538
40,64,1e-05,0.5,0.001,64,5.0,0.0004304547306878823,100,0.16875539042619966
41,32,1e-05,0.2,1e-05,128,,0.00043664932626396897,100,0.14503300680602235
42,64,0.01,0.3,0.01,8,2.0,2.6531624139319353e-05,22,0.14814906827147592
43,32,0.0001,0.1,0.0,16,,0.00039769265636866726,100,0.14040549215009596
44,16,0.01,0.3,0.1,64,,3.5891321059183133e-06,19,0.15336204306212792
45,64,0.001,0.5,0.0,64,,0.00010684811040793037,100,0.13894563170668978
46,32,0.0001,0.2,0.1,256,1.0,0.00018894668394225234,55,0.1420820440141752
47,64,1e-06,0.0,0.1,8,,3.474102350932863e-05,100,0.27847661423840564
48,16,0.01,0.4,0.0001,128,,9.181004049824663e-05,20,0.1442776374575825
49,16,1e-05,0.1,0.01,256,5.0,0.00029041424091481074,100,0.14211301093427897
50,128,1e-05,0.2,0.001,128,0.5,0.0002666510186428946,100,0.14600086941372778
51,256,1e-06,0.0,1e-05,256,2.0,0.000928924796229956,100,0.15691564425650034
52,16,0.01,0.2,0.01,64,2.0,2.7443715007955154e-06,18,0.15053044856630157
53,32,1e-05,0.4,0.001,128,2.0,0.0004601400964062791,100,0.1544011885317106
54,128,1e-05,0.5,0.1,16,0.5,0.0008770589168844596,100,0.17633583477754572
55,256,0.001,0.5,1e-05,128,2.0,0.0001924385164646227,100,0.140998646300066
56,128,1e-05,0.5,0.1,64,0.5,0.000427300984839523,100,0.1752533886439275
57,32,0.0001,0.2,0.0,128,1.0,0.0002718856233102997,100,0.14487557608874993
58,128,0.01,0.3,1e-05,64,5.0,5.709879149983799e-05,100,0.13966906002054122
59,32,1e-06,0.5,0.1,16,0.5,8.928219123470276e-06,20,0.2732824539541784
60,16,1e-05,0.3,1e-05,128,,0.0005000409588528915,100,0.14348315886733762
61,128,0.01,0.4,0.1,64,0.5,2.028936376763232e-05,19,0.14834384529995703
62,16,0.001,0.1,0.0,64,,8.866333446121963e-05,100,0.15675316250224838
63,16,0.001,0.0,0.001,256,5.0,4.255781665405862e-05,100,0.13941176305055783
64,128,0.0001,0.3,0.01,8,5.0,0.00017409616563239476,100,0.13871608382716122
65,256,0.0001,0.2,1e-05,256,,0.0002961884125727872,100,0.1455887930976425
66,128,0.0001,0.2,0.001,256,2.0,0.00030242324725602925,100,0.14983002874298673
67,64,0.0001,0.2,0.1,128,1.0,0.0001860159594661902,85,0.13798700164773134
68,256,1e-06,0.5,1e-05,16,0.5,9.969051254721158e-05,43,0.27212195362872427
69,32,1e-05,0.0,1e-05,8,,0.0007577467453061779,100,0.1427381640593984
70,32,0.0001,0.4,1e-05,8,1.0,0.0012898628217946945,100,0.13977398259139376
71,16,0.001,0.5,0.001,16,0.5,9.584425279983334e-05,25,0.13999491109667428
72,32,1e-06,0.0,0.001,8,1.0,3.1115687915322656e-05,100,0.26178073661454937
73,32,0.01,0.0,0.1,16,2.0,3.4441387442678715e-07,18,0.14817989019572197
74,256,1e-06,0.0,0.0001,16,1.0,1.4594309272124904e-05,100,0.23504069789653856
75,128,1e-06,0.2,0.001,128,,0.0007480309585664423,100,0.1879348782717643
76,128,0.0001,0.1,1e-05,256,2.0,0.0003726002049726011,100,0.15619652446584623
77,32,0.01,0.2,0.01,128,0.5,9.870919071478796e-06,18,0.1482668629567229
78,16,0.01,0.0,0.1,64,,7.618769121065381e-07,26,0.1504124034291924
79,32,0.0001,0.1,1e-05,128,,0.0002551612857283342,100,0.15303878723808756
80,64,1e-06,0.3,0.0001,256,2.0,0.0003074495199656951,100,0.17858922695889914
81,16,0.0001,0.5,0.0001,64,1.0,0.00036859874932624497,100,0.13910419886687134
82,16,0.001,0.4,0.1,256,1.0,8.288966666970474e-05,20,0.1484985255093273
83,128,1e-05,0.3,0.1,256,0.5,0.0004528586455864812,100,0.14673375962839266
84,32,0.001,0.4,0.01,64,2.0,0.0001476630878498364,24,0.1387030792182481
85,64,0.0001,0.5,1e-05,128,5.0,0.0005445203096209212,100,0.14021992642818182
86,32,1e-05,0.2,0.0,8,,0.0002958456106078562,100,0.1480262222163291
87,16,0.001,0.2,0.01,128,1.0,5.1984458067942256e-05,29,0.14152381221211727
88,256,0.0001,0.5,0.001,64,0.5,0.0005536898389853415,100,0.14333842415168435
89,256,0.0001,0.2,0.0,64,5.0,0.00020160713253490232,100,0.1400766234687006
90,128,0.0001,0.2,0.001,128,1.0,0.0002180201882524619,100,0.14312402676011723
91,64,0.001,0.0,1e-05,256,5.0,0.0009413965463307,100,0.1816954167312512
92,256,1e-05,0.1,0.1,64,5.0,0.0008010878097193139,100,0.15342282706805616
93,16,0.01,0.0,0.0,128,,7.270743168017195e-05,100,0.1548513205599006
94,16,0.0001,0.5,1e-05,128,1.0,0.00030207541431235554,100,0.13988286456335244
95,128,0.0001,0.1,1e-05,16,5.0,0.0003174674552555201,100,0.14111858100382466
96,64,1e-05,0.5,0.01,64,5.0,0.0006541443887108584,100,0.16715115716343046
97,64,1e-06,0.0,0.001,256,0.5,0.0008672446635952864,100,0.15936680283912608
98,16,0.0001,0.1,0.001,16,,0.0004559194310647933,100,0.13880413354810034
99,32,1e-05,0.5,0.1,128,0.5,0.0014225306675994523,100,0.14159812801740831
100,64,1e-05,0.5,0.001,128,2.0,0.0005648693178388509,100,0.16923624488154246
101,256,1e-06,0.3,0.01,64,2.0,7.891768054063509e-05,25,0.28238438656132947
102,32,0.01,0.2,0.001,128,1.0,4.699102779965485e-05,22,0.15043934340523382
103,64,1e-06,0.4,0.1,256,1.0,0.0012881439301432355,100,0.1963572567705482
104,256,1e-06,0.5,0.0001,128,,0.00017604050440012952,53,0.22881849624366707
105,256,0.0001,0.0,1e-05,256,,0.0006450379613043322,100,0.17567233537078483
106,32,0.01,0.5,0.1,256,1.0,4.4336492849171966e-05,22,0.14822370766185075
107,256,0.0001,0.1,0.1,128,,0.000458093741649174,100,0.15294545496748585
108,32,0.001,0.3,0.1,256,,0.00010302975068837354,23,0.14919164273124175
109,64,0.01,0.1,0.0001,8,,9.658036729357831e-06,70,0.14267595256157764
110,64,1e-06,0.5,0.0001,256,,0.0001916625773831324,85,0.20586062414601414
111,16,0.0001,0.1,0.001,256,5.0,0.00028579329595050407,100,0.15508336565658565
112,64,1e-05,0.4,0.01,16,1.0,0.0009446903915806667,100,0.16329331795029378
113,128,0.0001,0.4,0.0001,64,5.0,0.0003686848952473327,100,0.13940210575503223
114,256,1e-06,0.2,0.001,16,,0.00017199833985412656,17,0.3281900207374227
115,256,0.0001,0.5,0.0001,64,,0.0006477705161230617,100,0.14265320058122452
116,16,0.001,0.5,0.0,16,0.5,4.323497755599795e-05,75,0.13890911091566915
117,32,1e-05,0.3,0.1,256,1.0,0.0007700836705632464,100,0.14390268061540457
118,64,0.001,0.1,0.01,8,1.0,5.858935607993072e-05,87,0.13769204057986079
119,256,0.0001,0.5,0.0,128,0.5,0.0006004080685400168,100,0.1428224079761346
120,32,0.001,0.5,0.001,64,,0.00016462960089949242,48,0.13758603858400997
121,128,0.0001,0.4,1e-05,128,5.0,0.0006967405029718415,100,0.14137404723619734
122,32,0.0001,0.3,0.001,16,2.0,0.0006017614517136595,100,0.1377554723372925
123,128,1e-06,0.0,0.01,8,1.0,1.032279307430593e-05,100,0.3026078952899652
124,16,0.0001,0.0,0.0001,16,2.0,6.73682336277625e-05,100,0.14551753455396324
125,128,0.0001,0.0,0.0001,64,5.0,0.0008526157173463594,100,0.159388869093722
126,16,0.0001,0.0,0.0001,256,5.0,0.0003877031415258222,100,0.1677192952357041
127,32,0.001,0.3,0.0,16,,0.0001030951531719631,100,0.13994856742084483
128,256,0.001,0.2,0.0,16,2.0,0.00016245736351862012,100,0.14184500458880048
129,32,0.0001,0.5,1e-05,128,5.0,0.0005439077947420525,100,0.13928902465189968
130,128,1e-05,0.4,0.1,8,2.0,9.379782289430688e-05,100,0.26637856126494336
131,64,0.0001,0.5,0.01,16,0.5,0.001179772682400283,100,0.13914367392752383
132,32,0.001,0.0,0.1,16,0.5,2.272575487873005e-05,21,0.14880289107126193
133,128,1e-05,0.5,0.001,256,,0.0005199689204906454,100,0.16538690756475702
134,16,1e-05,0.4,0.1,8,,0.0019326155178852917,100,0.14642900438711326
135,32,0.0001,0.1,0.1,8,5.0,0.00021214758890155002,52,0.14124038541499237
136,16,1e-05,0.4,1e-05,256,,0.00047469548956186194,100,0.15009993058969115
137,16,1e-06,0.1,0.01,16,2.0,7.290860309856328e-05,100,0.18123465268416403
138,16,1e-05,0.3,0.01,128,2.0,0.00043128232866599043,100,0.14453205208321923
139,32,1e-06,0.5,0.01,256,,0.00019578297599086517,100,0.197257621384396
140,32,0.01,0.1,0.0,64,,6.447158288251142e-05,100,0.14971086577544038
141,32,1e-05,0.0,0.0001,16,5.0,0.0011357134384779777,100,0.144394046090973
142,128,1e-05,0.0,0.01,128,0.5,0.0005366286319773452,100,0.1489074267617856
