,batch_size,n_layers,lr,rnn_dropout,weight_decay,grad_clip,hidden_size,tuning_epochs,tuning_loss_MSE
0,128,3,0.0001,0.5,1e-05,2.0,256,100,0.1340353353713313
1,32,2,1e-06,0.2,0.01,,16,100,0.15686514273334076
2,64,1,0.01,0.3,0.01,0.5,256,26,0.14632829547112863
3,64,3,1e-06,0.1,1e-05,0.5,16,100,0.15337391794545352
4,256,2,0.0001,0.5,1e-05,,128,93,0.13835391000396366
5,16,3,0.0001,0.3,0.01,1.0,16,32,0.14491440645668105
6,16,5,0.001,0.0,0.0001,2.0,16,88,0.14159603632922615
7,256,2,1e-06,0.0,0.01,1.0,16,100,0.15591953441611758
8,16,3,1e-06,0.1,0.0,5.0,16,100,0.14591088702852154
9,16,3,1e-05,0.2,1e-05,2.0,8,75,0.14458306726523634
10,256,3,1e-05,0.0,0.001,0.5,16,43,0.14606185555395185
11,64,5,1e-05,0.4,1e-05,5.0,8,100,0.14472478355980234
12,256,3,0.01,0.2,0.01,,64,33,0.14467505546398582
13,16,2,0.01,0.3,0.01,5.0,256,20,0.1470487134976299
14,16,2,1e-06,0.0,0.01,2.0,64,100,0.1455136771434503
15,128,5,1e-06,0.4,0.0,1.0,64,100,0.148448447812281
16,128,5,0.001,0.4,0.01,,16,31,0.14496634054060709
17,256,1,1e-05,0.0,0.0001,5.0,128,100,0.1431305686305102
18,256,1,1e-05,0.2,0.0,0.5,64,92,0.14428626553831866
19,256,3,0.001,0.0,0.0001,2.0,64,100,0.1395376145751655
20,32,5,1e-05,0.2,0.01,5.0,8,63,0.1445594656426983
21,64,5,1e-05,0.3,0.0,,16,96,0.14465300713448706
22,256,3,0.0001,0.5,0.001,5.0,64,44,0.1440019299186958
23,32,2,0.0001,0.5,0.001,,256,79,0.13908330950441114
24,16,5,0.001,0.3,0.0001,1.0,64,100,0.13660599375797366
25,128,3,0.001,0.4,1e-05,2.0,256,100,0.1569842873897075
26,16,5,0.001,0.3,0.001,5.0,8,33,0.14515761577273106
27,64,2,1e-05,0.2,0.0001,,64,100,0.14268915853867267
28,128,5,0.0001,0.1,0.0001,1.0,256,100,0.13761239943488487
29,32,2,0.0001,0.3,0.0,1.0,64,100,0.13549532869379805
30,16,2,1e-05,0.0,0.001,0.5,64,95,0.1431674467459193
31,128,1,0.0001,0.5,0.0001,2.0,16,70,0.1457186545194126
32,16,2,1e-05,0.2,0.001,2.0,128,100,0.14015355413966432
33,32,3,0.01,0.4,1e-05,2.0,256,52,0.13648041317081935
34,128,1,0.0001,0.3,0.0,5.0,256,100,0.13544943062375034
35,16,5,0.0001,0.0,0.0001,,128,100,0.13922661233167766
36,32,5,0.0001,0.1,0.0,,256,100,0.1539912808522475
