,batch_size,lr,mlp_dropout,weight_decay,hidden_size,grad_clip,result_variance,tuning_epochs,tuning_loss_MSE
0,128,0.01,0.1,0.0,256,2.0,0.0006279642285945166,150,0.16389075975148026
1,16,0.01,0.25,0.01,128,,1.3417102570865411e-05,18,0.15308280452474943
2,256,0.01,0.33,0.01,128,0.5,6.958512745612193e-05,22,0.1528995504596318
3,128,0.001,0.25,0.0001,16,,0.00013438185540502818,150,0.14731077402208811
4,32,0.001,0.1,0.0001,128,2.0,0.0002333823623906678,150,0.17084243627079995
5,32,0.01,0.1,1e-05,8,1.0,1.1495376676950003e-05,105,0.14294236378797315
6,128,0.001,0.1,0.0001,256,,0.0007060256836938355,150,0.18195990548625102
7,256,0.001,0.25,0.001,128,2.0,0.00022128014761860576,150,0.15433054507979924
8,64,0.001,0.0,0.0,256,1.0,0.0011779452344171167,150,0.19183147716969562
9,128,0.01,0.25,0.01,128,2.0,7.003227290184511e-05,20,0.149516359454149
10,256,0.01,0.1,0.01,8,,0.0001292305254372931,32,0.14437103056095804
11,64,0.01,0.25,0.001,16,,4.1440513066796984e-05,22,0.14333066324689805
12,64,0.01,0.0,0.0,256,,0.0004713675302990463,150,0.34138779276522435
13,16,0.01,0.33,0.01,256,,5.692114293086571e-05,18,0.15299987521247785
14,64,0.001,0.5,0.0,256,0.5,0.00017939908566837477,150,0.14598999467055113
15,128,0.0001,0.25,0.001,8,1.0,0.0006511093651987355,150,0.14226410566227896
16,32,1e-05,0.1,0.01,16,,0.0016641805976222175,150,0.14357524900448
17,32,0.001,0.25,0.001,8,,8.343002871156491e-05,40,0.14148036373974632
18,128,0.01,0.0,0.0,8,0.5,7.628297834125808e-05,142,0.16314390356483519
19,256,0.01,0.1,1e-05,64,1.0,0.0002376889754044716,150,0.15891761482383246
20,16,0.01,0.1,0.0001,8,2.0,2.90515209876861e-06,36,0.14617677332731152
21,64,1e-05,0.5,0.0001,64,1.0,0.0008375218288435913,150,0.16640147579635822
22,256,0.01,0.1,0.0001,64,2.0,6.742910502189834e-05,108,0.1472694703756396
23,64,0.001,0.25,0.0,64,2.0,0.00014615765797849783,150,0.15037651714597666
24,128,0.01,0.33,0.01,64,1.0,5.556448410456144e-05,20,0.14998656711369607
25,64,0.001,0.0,1e-05,8,2.0,7.571338111053003e-05,150,0.15004485035373405
26,16,1e-05,0.25,0.0001,128,,0.0003165996994345877,150,0.14705253744638985
27,16,0.0001,0.1,0.0001,16,1.0,0.00014179557441650604,87,0.14209344678657432
28,32,0.001,0.33,0.0,256,0.5,0.00023655438716301496,150,0.1497561068564674
29,16,0.001,0.5,0.001,64,0.5,8.09901743707105e-05,44,0.1418388181962099
30,64,1e-05,0.5,0.0001,128,2.0,0.0008896852046048481,150,0.1633968671259572
31,16,1e-05,0.33,0.001,8,,0.0004981351355586447,150,0.1478035783419765
32,16,0.001,0.25,0.001,16,2.0,3.519476987046435e-05,64,0.14161252179458125
33,64,0.001,0.5,0.0,64,2.0,0.00012110985180628276,150,0.1457475071673264
34,256,0.0001,0.5,0.0001,8,0.5,0.006290297624413505,80,0.15111035128655412
35,256,1e-05,0.0,0.0001,64,1.0,0.0007405344932021154,150,0.14791589666564403
36,256,1e-05,0.25,0.0001,64,2.0,0.0011760511973838775,150,0.16352497848725467
37,64,0.001,0.0,0.01,64,,3.233446649796721e-05,69,0.14560655547853474
38,64,0.01,0.0,0.001,16,1.0,6.175428426466586e-06,33,0.14172539886623062
39,64,0.001,0.25,1e-05,128,,0.0002967135056689398,150,0.1551105421976218
40,32,1e-05,0.33,0.0001,256,0.5,0.0003811208787920487,150,0.15058111193239732
41,16,0.001,0.1,0.0,64,1.0,9.885122393154297e-05,123,0.14807068633693551
42,256,0.0001,0.5,0.0,16,,0.0019464570517108385,150,0.14504250286145703
43,256,1e-05,0.25,0.0001,128,0.5,0.0004338217312562324,150,0.15203762466166895
44,64,1e-05,0.0,0.0,256,2.0,0.00033654324977633023,150,0.1532743925991118
45,64,1e-05,0.1,1e-05,64,0.5,0.0005529971511824467,145,0.14692697243983752
46,256,0.001,0.1,0.01,128,2.0,6.8281006244112e-05,71,0.14347556742882878
47,128,0.001,0.1,0.01,8,1.0,0.00011114861350264261,101,0.145762165850695
48,64,0.001,0.25,0.0001,256,2.0,0.0003137391645143296,150,0.1562836496303113
49,16,1e-05,0.25,0.0,8,1.0,0.00039776020474285335,150,0.14604391029429487
50,128,0.0001,0.5,0.01,128,2.0,0.00045803532073661167,150,0.1443495671251236
51,16,0.01,0.25,0.01,128,,1.8619964592865437e-05,18,0.15601060781174853
52,32,1e-05,0.5,0.0,8,0.5,0.0011088868693974545,150,0.1622520338627429
53,16,0.001,0.33,0.0,8,1.0,5.064902395715096e-05,88,0.1431717373311644
54,128,0.0001,0.0,0.001,256,1.0,0.0009488664436152731,150,0.18656282375635913
55,128,0.0001,0.33,0.001,256,1.0,0.000387292539259732,150,0.15062812509389284
56,128,0.0001,0.1,1e-05,256,,0.00041117618804711783,150,0.16807272013605593
57,256,1e-05,0.1,0.0001,64,0.5,0.0006522814955792568,150,0.15023940775939537
58,256,0.001,0.0,1e-05,64,0.5,0.0005948278232665769,150,0.20606060059452488
59,256,0.01,0.25,1e-05,16,0.5,4.1100831760616304e-05,125,0.1500475406294651
60,128,1e-05,0.25,0.01,16,2.0,0.0014375462377724038,150,0.17109920552325297
61,64,0.001,0.5,0.0,256,1.0,0.00016051934632975654,150,0.147252567049279
62,32,0.01,0.33,0.001,128,,6.615135693588695e-05,20,0.1478264296009277
63,256,1e-05,0.0,0.001,8,,0.00011057166945515849,150,0.2548345558775059
64,16,0.0001,0.1,0.01,64,,0.00012492814539862435,105,0.14508882471883852
65,32,0.0001,0.5,1e-05,16,1.0,0.0007813890708834802,132,0.14137204522635888
66,256,0.0001,0.1,0.001,64,1.0,0.00022985408493533495,150,0.14719573190491425
67,128,0.0001,0.5,0.001,256,0.5,0.00047810865423766967,150,0.14846515805875368
68,32,0.001,0.1,0.001,64,0.5,3.621697956245221e-05,95,0.1496779234418445
69,256,0.001,0.1,0.0001,256,0.5,0.0007376376091832095,150,0.1784188529925681
70,64,1e-05,0.1,0.0,16,1.0,0.0017279587723069705,150,0.15759707753591193
71,128,0.001,0.1,0.01,16,1.0,4.6558212870355326e-05,135,0.1438195026789671
72,256,1e-05,0.25,0.0,8,0.5,0.00041610703430276796,150,0.1838193292985201
73,16,0.01,0.25,0.001,16,,3.2308368733606e-06,19,0.15045779174280466
74,32,0.0001,0.25,0.01,16,,0.00021456717073477854,150,0.14255419460081906
75,64,0.001,0.33,0.01,16,0.5,0.00017540678659115402,39,0.14204184369567868
76,64,1e-05,0.0,0.0,128,0.5,0.00037653670797071364,150,0.15064074832627639
77,256,0.01,0.1,0.0,16,0.5,7.516776132329513e-05,110,0.15207818116969413
78,128,1e-05,0.0,0.0,256,,0.0006456395314519327,150,0.1553921027656559
79,128,0.01,0.25,0.01,16,,3.439936582639086e-05,25,0.14472522034754431
80,32,0.0001,0.25,0.01,8,2.0,0.0005532944551894988,131,0.14270798893874515
81,16,1e-05,0.33,0.01,64,0.5,0.0006729271543870585,150,0.1457470701666985
82,128,0.001,0.5,1e-05,16,0.5,0.00020773788142952707,59,0.14127558633177706
