,batch_size,n_layers,lr,rnn_dropout,weight_decay,grad_clip,hidden_size,tuning_epochs,tuning_loss_MSE
0,256,1,0.0001,0.1,0.0,,8,72,0.14366359933951897
1,16,2,0.001,0.0,0.001,,128,43,0.14105594843481048
2,256,2,0.001,0.2,0.001,2.0,256,46,0.13848586356043402
3,128,3,0.01,0.33,0.0001,1.0,16,40,0.1330940456378783
4,256,2,0.01,0.1,0.0,2.0,64,147,0.15369240222414637
5,64,3,0.0001,0.1,0.001,0.5,256,36,0.15611442480963747
6,128,2,1e-05,0.0,0.01,,256,76,0.14184262879695056
7,64,2,0.0001,0.0,1e-05,1.0,256,150,0.1631585436699041
8,128,2,1e-05,0.5,0.0,,8,150,0.14430939262736747
9,256,2,0.0001,0.1,0.001,1.0,64,125,0.13918735208488156
10,32,2,0.01,0.0,0.0,,256,37,0.13464187211340878
11,64,1,0.0001,0.0,1e-05,2.0,256,150,0.1619375112157799
12,128,3,0.0001,0.2,0.01,1.0,16,62,0.14343824735153377
13,16,2,1e-05,0.1,0.0001,,64,150,0.13881401857251174
14,32,3,0.01,0.2,0.0,,8,58,0.13430505822191974
15,16,1,0.01,0.5,1e-05,2.0,16,84,0.13277096378152944
16,256,2,0.0001,0.33,0.001,1.0,128,117,0.13744155915351772
17,128,1,0.001,0.5,0.01,,8,37,0.1435426901453812
18,256,2,0.01,0.2,0.001,1.0,16,23,0.1432715941709806
19,64,1,0.001,0.2,0.0,1.0,256,150,0.18506724737724387
20,128,3,1e-05,0.33,0.0001,,8,118,0.1436476441940307
21,128,3,0.0001,0.2,0.001,0.5,64,95,0.1400569530163812
22,16,3,0.001,0.1,0.01,,16,34,0.14329125276036028
23,64,2,0.001,0.0,1e-05,2.0,16,150,0.15475656803984705
24,32,2,1e-05,0.2,0.0,2.0,8,80,0.1437977589899836
25,32,2,1e-05,0.5,0.01,0.5,128,56,0.14360418756899526
26,256,2,0.001,0.0,0.001,2.0,8,107,0.14147823875546042
27,64,1,0.001,0.0,1e-05,2.0,128,150,0.20846264251327248
28,16,2,1e-05,0.1,0.0,,8,116,0.1435910529647957
29,128,1,1e-05,0.5,0.001,0.5,64,67,0.14451419166842627
30,128,3,1e-05,0.33,0.0001,1.0,8,140,0.14423015234762798
31,64,1,0.01,0.2,0.0,,128,139,0.13605930296350802
32,256,2,0.001,0.1,1e-05,0.5,64,150,0.1530945756053908
33,128,1,0.0001,0.1,0.001,0.5,64,65,0.14080216851890542
34,16,2,0.0001,0.5,0.01,2.0,8,30,0.14331683323895295
35,256,1,0.001,0.33,0.001,1.0,128,84,0.13752425152490005
36,16,1,0.0001,0.1,1e-05,,8,150,0.1393994361224317
37,256,3,0.001,0.1,0.0,2.0,256,150,0.18300625356619685
38,16,2,0.001,0.2,0.0001,0.5,64,150,0.13402979503993445
39,16,1,0.0001,0.2,0.0001,1.0,256,150,0.1438936173170287
40,256,2,0.001,0.0,0.001,1.0,8,110,0.14021808007593534
41,16,3,0.01,0.33,0.01,1.0,256,19,0.14338407571465708
42,32,3,0.001,0.1,0.001,,16,23,0.14447301278994926
43,16,1,1e-05,0.33,0.001,,64,90,0.14305416587908454
44,64,3,0.01,0.5,0.001,2.0,8,32,0.14326674808347448
45,32,3,0.001,0.1,0.0,,64,150,0.17674790780067112
46,64,2,0.01,0.2,0.01,0.5,8,29,0.14351907280520318
47,16,2,1e-05,0.0,1e-05,,256,150,0.14500357125723337
48,128,1,0.0001,0.1,1e-05,1.0,128,150,0.1403364509478719
49,64,1,0.0001,0.33,0.01,,8,56,0.14333452677213127
50,32,1,0.001,0.1,0.0001,0.5,16,150,0.1390367252119222
51,64,2,0.001,0.0,0.0,2.0,16,150,0.15370569662181266
52,32,1,0.0001,0.2,0.0,,8,53,0.14351847169298196
53,32,2,0.0001,0.1,0.001,1.0,128,76,0.13829084794044164
54,16,2,0.0001,0.2,0.0001,2.0,64,150,0.13571626152364308
55,256,3,0.001,0.5,0.0,0.5,128,150,0.14810448193235312
56,32,2,1e-05,0.2,1e-05,2.0,64,55,0.14247761152741642
57,16,2,0.01,0.1,0.001,,64,20,0.14509050199105725
58,16,2,0.001,0.0,0.0001,1.0,8,150,0.142942902532777
59,32,2,1e-05,0.1,0.001,1.0,128,145,0.13995713337665636
60,16,1,0.01,0.2,0.0,2.0,128,32,0.13759133484864333
61,128,1,1e-05,0.5,0.0,,256,150,0.14076671407631158
62,32,2,0.001,0.5,0.01,1.0,16,36,0.14361083336676717
63,16,3,0.0001,0.2,0.0,,256,150,0.17001424332390733
64,64,2,1e-05,0.0,1e-05,1.0,128,150,0.1387787058255671
65,128,3,0.0001,0.2,0.01,1.0,8,58,0.14327947986755543
66,128,1,0.01,0.0,0.0,1.0,8,105,0.14339100171535524
67,128,2,0.01,0.33,0.0,0.5,256,67,0.13314994397140195
68,256,1,0.01,0.0,0.0,2.0,256,150,0.19433904469551685
69,64,1,0.001,0.33,0.0,1.0,8,149,0.13625127058463266
70,16,2,1e-05,0.5,0.0001,,64,150,0.1397361800571628
71,128,3,0.001,0.0,0.0001,0.5,64,150,0.16436012795064248
72,64,2,0.001,0.1,1e-05,2.0,128,150,0.19819956329069344
73,16,1,0.001,0.33,0.0001,0.5,8,99,0.13522696204902895
74,32,2,0.0001,0.1,0.0001,1.0,16,150,0.13653199100055324
75,16,1,0.01,0.5,0.0,0.5,8,79,0.1336266264847536
76,16,1,0.001,0.5,0.01,2.0,128,24,0.1436727012110883
77,256,3,0.0001,0.0,0.01,1.0,256,38,0.14370467869915673
78,16,2,1e-05,0.33,0.001,1.0,8,89,0.1432113662092863
79,256,2,0.001,0.5,0.0001,0.5,128,60,0.13542310735204305
80,32,3,0.001,0.1,0.01,0.5,16,42,0.1435601468546843
81,32,1,0.01,0.33,0.001,,128,26,0.14329414413860062
82,256,2,0.0001,0.33,0.01,1.0,64,36,0.14381256926030728
83,16,2,1e-05,0.2,0.0,1.0,64,136,0.13965871477702826
84,256,3,0.0001,0.2,0.01,0.5,64,41,0.1436436002270226
85,32,1,0.001,0.1,0.0,0.5,64,150,0.16929979123656663
86,256,3,1e-05,0.33,0.01,1.0,256,81,0.14221409297884133
87,32,1,1e-05,0.1,1e-05,,16,44,0.1442703031950978
88,16,3,0.001,0.33,1e-05,1.0,64,150,0.1465710237943273
89,64,2,0.01,0.0,0.001,,256,21,0.14390459250065915
90,128,3,0.01,0.33,1e-05,1.0,128,52,0.1318275572049941
91,16,3,0.0001,0.0,0.0001,,16,150,0.13870847205307188
92,32,1,0.0001,0.2,0.001,1.0,128,74,0.13858829510137388
93,128,2,0.01,0.2,0.001,0.5,128,35,0.14342494943516382
94,64,3,0.01,0.2,0.0,,8,40,0.13438394007333207
95,32,1,0.0001,0.0,0.0,2.0,64,150,0.14276153553766538
96,32,2,0.001,0.1,0.0,1.0,8,146,0.1367721165775673
97,256,1,0.001,0.5,0.0001,2.0,64,150,0.1335307801386977
98,256,3,0.01,0.1,0.0,,8,89,0.13454413710989166
