pitcher,CH,CU,EP,FA,FC,FF,FO,FS,KC,KN,SC,SI,SL,ST,SV
434378,0,2,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1
445276,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1
445926,2,1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
448179,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
450203,0,1,-1,-1,1,2,-1,-1,-1,-1,-1,1,-1,-1,-1
453286,2,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1
455119,-1,-1,-1,-1,1,1,-1,0,-1,-1,-1,1,-1,-1,-1
456501,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1
458677,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1
458681,0,1,-1,-1,1,1,-1,-1,-1,-1,-1,1,-1,1,-1
471911,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,-1
472610,-1,-1,-1,-1,1,1,-1,0,-1,-1,-1,1,1,1,-1
477132,-1,0,-1,-1,-1,0,-1,2,-1,-1,-1,-1,0,-1,-1
489119,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
489446,-1,-1,-1,-1,-1,2,-1,0,-1,-1,-1,-1,-1,-1,-1
493603,2,-1,-1,-1,1,2,-1,-1,-1,-1,-1,1,1,1,-1
500779,1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,2,-1,-1,1
502043,0,1,-1,-1,1,1,-1,-1,-1,-1,-1,1,-1,1,-1
502085,0,-1,-1,-1,1,-1,-1,-1,0,-1,-1,-1,1,-1,-1
502171,-1,-1,-1,-1,-1,-1,-1,0,3,-1,-1,1,-1,-1,-1
502179,2,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1
502624,0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1
503449,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
506433,-1,1,-1,-1,1,1,-1,0,1,-1,-1,1,1,1,-1
518397,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,-1,-1
518489,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,1,-1,-1
518585,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1
518617,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1
518876,0,2,-1,-1,1,2,-1,-1,-1,-1,-1,1,1,-1,-1
518886,-1,-1,-1,-1,-1,2,-1,-1,1,-1,-1,-1,-1,1,-1
519008,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,0,-1
519043,1,-1,-1,-1,-1,0,-1,-1,2,-1,-1,-1,-1,-1,-1
519151,0,2,-1,-1,-1,0,-1,-1,-1,-1,-1,1,1,-1,-1
519242,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,2,0,-1,-1
519293,1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1
519326,0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,1,1,-1
523260,2,-1,-1,-1,-1,2,-1,-1,3,-1,-1,1,1,-1,-1
527048,1,0,-1,-1,0,0,-1,-1,-1,-1,-1,2,-1,-1,-1
527054,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
528748,2,1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
541640,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
542585,2,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1
542881,1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,2,0,-1,-1
542882,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
542888,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,1,1,-1
543037,0,-1,-1,-1,1,1,-1,-1,3,-1,-1,1,1,-1,-1
543056,-1,-1,-1,-1,0,1,-1,-1,2,-1,-1,2,-1,0,-1
543135,-1,1,-1,-1,1,2,-1,0,-1,-1,-1,-1,1,-1,-1
543238,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1
543243,2,1,-1,-1,1,1,-1,-1,-1,-1,-1,1,-1,1,-1
543294,0,2,-1,-1,-1,2,-1,-1,-1,-1,-1,1,-1,-1,-1
543339,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1
543351,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1
543391,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
543518,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,1,-1,-1
543766,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
543859,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,1,1,1,-1
544150,0,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
547001,0,2,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1,-1
547179,0,2,-1,-1,1,1,-1,-1,-1,-1,-1,1,1,1,-1
547184,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1
547973,-1,-1,-1,-1,-1,0,-1,2,-1,-1,-1,2,0,-1,-1
548384,1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
548389,0,-1,-1,-1,1,1,-1,-1,3,-1,-1,1,1,-1,-1
552640,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1
554340,2,2,-1,-1,-1,2,-1,-1,-1,-1,-1,1,1,1,-1
554430,-1,1,-1,-1,1,1,-1,0,-1,-1,-1,1,-1,1,-1
554431,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1
570257,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,0,-1
570632,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1
571479,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
571510,1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,2,0,-1,-1
571527,0,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
571539,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,1,-1,-1,-1
571578,1,0,-1,-1,0,0,-1,-1,-1,-1,-1,2,0,-1,-1
571656,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1
571657,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
571670,0,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,1,1,-1,-1
571760,1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,2,0,-1,-1
571771,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
571882,0,1,-1,-1,1,1,-1,-1,-1,-1,-1,1,1,-1,-1
571912,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
571927,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,-1,-1
571945,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,-1
571946,-1,-1,-1,-1,-1,1,-1,0,-1,-1,-1,-1,1,-1,-1
571948,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,2,-1,0,-1
572020,1,-1,-1,-1,0,0,-1,-1,2,-1,-1,2,-1,-1,-1
572143,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1
572955,-1,2,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
572971,1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,2,-1,-1,-1
573009,1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,2,-1,-1,-1
573124,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,0,-1
573186,-1,2,-1,-1,1,2,-1,0,-1,-1,-1,1,1,-1,0
573204,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1
579328,1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1
592094,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1
592155,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1
592288,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,0,-1
592332,-1,-1,-1,-1,-1,1,-1,0,-1,-1,-1,1,1,-1,-1
592351,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1
592426,-1,2,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1
592454,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1
592662,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,0,-1,-1
592767,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,2,-1,-1,-1
592773,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,1,-1,-1
592779,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,-1,1,-1
592791,0,1,-1,-1,1,1,-1,-1,-1,-1,-1,1,-1,1,-1
592836,-1,1,-1,-1,1,1,-1,0,-1,-1,-1,1,-1,1,-1
592866,2,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,1,1,1,-1
593334,0,0,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
593423,-1,-1,-1,-1,1,1,-1,0,-1,-1,-1,1,1,-1,-1
593576,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,1,-1,-1
593958,1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,2,0,-1,-1
593974,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,2,0,-1,-1
594580,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,2,-1,0,-1
594798,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1
594835,1,0,-1,-1,0,0,-1,-1,-1,-1,-1,2,-1,-1,-1
594902,2,1,-1,-1,-1,2,-1,-1,-1,-1,-1,1,1,1,-1
595014,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,-1,1,-1
595345,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,2,0,-1,-1
595881,-1,1,-1,-1,-1,2,-1,0,-1,-1,-1,1,-1,-1,-1
595897,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1
595928,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1
596001,0,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,1,1,-1,-1
596117,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
596133,0,-1,-1,-1,1,1,-1,-1,3,-1,-1,-1,-1,-1,-1
596295,1,-1,-1,-1,-1,0,-1,-1,2,-1,-1,-1,0,-1,-1
598264,-1,-1,-1,-1,-1,1,-1,1,0,-1,-1,-1,-1,-1,-1
598286,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,0,-1
600917,0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,1,-1,-1
600986,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1
601713,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1
605121,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,1,-1,-1
605130,-1,1,-1,-1,-1,2,-1,-1,-1,-1,-1,1,1,-1,-1
605135,0,1,-1,-1,1,2,-1,0,-1,-1,-1,1,1,1,-1
605154,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1
605155,-1,2,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1
605156,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1
605177,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,2,0,-1,-1
605182,0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1
605280,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1
605288,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1
605335,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1
605347,0,-1,-1,-1,-1,1,-1,-1,3,-1,-1,1,1,-1,-1
605397,0,2,-1,-1,1,1,-1,-1,-1,-1,-1,1,-1,1,-1
605400,2,-1,-1,-1,1,2,-1,-1,1,-1,-1,1,-1,-1,-1
605447,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1
605452,2,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1
605463,-1,-1,-1,-1,-1,2,-1,0,-1,-1,-1,1,1,-1,-1
605483,1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1
605488,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,0,-1
605513,2,2,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,-1
606149,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,-1,-1
606160,2,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,1,1,-1,-1
606303,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1
606930,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1
606965,0,-1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,1,-1
607067,-1,1,-1,-1,1,1,-1,0,-1,-1,-1,1,-1,1,-1
607074,1,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1
607179,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1
607192,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1
607200,0,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1
607237,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1
607259,0,2,-1,-1,1,1,-1,-1,-1,-1,-1,1,1,-1,-1
607455,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,2,0,-1,-1
607481,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,2,-1,0,-1
607536,1,-1,-1,-1,-1,0,-1,-1,2,-1,-1,2,0,-1,-1
607625,0,2,-1,-1,1,1,-1,0,-1,-1,-1,1,1,1,0
607644,1,-1,-1,-1,-1,0,-1,-1,2,-1,-1,-1,0,-1,-1
608032,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1
608331,1,0,-1,-1,0,0,-1,-1,-1,-1,-1,2,0,0,-1
608334,0,2,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,-1
608344,1,0,-1,-1,0,0,-1,-1,-1,-1,-1,2,0,-1,-1
608371,-1,2,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1
608379,0,1,-1,-1,1,1,-1,-1,-1,-1,-1,1,1,-1,-1
608566,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
608638,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1
608648,-1,-1,-1,-1,-1,2,-1,-1,3,-1,-1,1,1,-1,-1
608678,0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,1,-1,-1
608717,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1
608718,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,2,0,-1,-1
608723,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1
612434,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1
613534,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,1,-1,-1
614179,0,2,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1
615698,0,1,-1,-1,1,-1,-1,0,-1,-1,-1,1,-1,-1,-1
620982,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,1,-1,-1
621016,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,0,-1,1,-1
621051,2,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1
621053,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,-1,1,-1
621097,0,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
621107,0,1,-1,-1,1,2,-1,-1,-1,-1,-1,1,-1,1,-1
621111,2,-1,-1,-1,1,1,-1,-1,1,-1,-1,1,-1,1,-1
